gloss,index,contain
细胞,20000,0
组织,20001,0
器官,20002,0
系统,20003,0
头部,20004,0
颈部,20005,0
背部,20006,0
胸部,20007,0
腹部,20008,0
上肢,20009,0
下肢,20010,0
上臂,20011,0
前臂,20012,0
肘部,20013,0
腕部,20014,0
手,20015,0
手指,20016,0
拇指,20017,0
食指,20018,0
中指,20019,0
无名指,20020,0
小指,20021,0
大腿,20022,0
小腿,20023,0
髋部,20024,0
膝部,20025,0
踝部,20026,0
足部,20027,0
脚趾,20028,0
拇趾,20029,0
足跟,20030,0
跟腱,20031,0
骨骼,20032,0
肌肉,20033,0
关节,20034,0
骨膜,20035,0
骨髓,20036,0
软骨,20037,0
脊柱,20038,0
颈椎,20039,0
胸椎,20040,0
腰椎,20041,0
骶椎,20042,0
尾椎,20043,0
椎间盘,20044,0
胸骨,20045,0
肋,20046,0
肌腱,20047,0
韧带,20048,0
大脑,20049,0
小脑,20050,0
脑干,20051,0
颅神经,20052,0
脊髓,20053,0
脊神经,20054,0
心脏(1),20055,0
心脏(2),20056,0
心房,20057,0
心室,20058,0
心肌,20059,0
血管,20060,0
动脉,20061,0
静脉,20062,0
毛细血管,20063,0
冠状动脉,20064,0
淋巴管,20065,0
胸腺,20066,0
脾,20067,0
鼻,20068,0
鼻腔,20069,0
鼻孔,20070,0
鼻毛,20071,0
鼻窦,20072,0
喉,20073,0
喉结,20074,0
声带,20075,0
气管,20076,0
支气管,20077,0
肺,20078,0
胸膜,20079,0
口腔,20080,0
口唇,20081,0
牙,20082,0
乳牙,20083,0
智齿,20084,0
牙龈,20085,0
扁桃体,20086,0
舌,20087,0
咽,20088,0
食管,20089,0
胃,20090,0
肠,20091,0
小肠,20092,0
十二指肠,20093,0
大肠,20094,0
盲肠,20095,0
阑尾,20096,0
结肠,20097,0
直肠,20098,0
肛门,20099,0
肛管,20100,0
唾液腺,20101,0
肝,20102,0
胆,20103,0
胰,20104,0
肾,20105,0
输尿管,20106,0
膀胱,20107,0
尿道,20108,0
排尿,20109,0
垂体,20110,0
甲状腺,20111,0
胰岛,20112,0
性腺,20113,0
眼,20114,0
眼球,20115,0
角膜,20116,0
瞳孔,20117,0
巩膜,20118,0
视网膜,20119,0
晶状体,20120,0
玻璃体,20121,0
眼睑,20122,0
睫毛,20123,0
结膜,20124,0
耳,20125,0
外耳,20126,0
中耳,20127,0
内耳,20128,0
外耳道,20129,0
鼓膜,20130,0
耳蜗,20131,0
睾丸,20132,0
输精管,20133,0
排精,20134,0
精液,20135,0
前列腺,20136,0
阴茎,20137,0
阴茎包皮,20138,0
卵巢,20139,0
输卵管,20140,0
排卵,20141,0
子宫,20142,0
子宫颈,20143,0
阴道,20144,0
处女膜,20145,0
乳房,20146,0
乳头,20147,0
位置,20148,0
方向,20149,0
温度,20150,0
视觉,20151,0
听觉,20152,0
嗅觉,20153,0
触觉,20154,0
味觉,20155,0
光感,20156,0
寒,20157,0
热,20158,0
温,20159,0
凉,20160,0
冷,20161,0
香(1),20162,0
香(2),20163,0
臭,20164,0
酸,20165,0
甜,20166,0
苦,20167,0
咸,20168,0
辣,20169,0
涩,20170,0
红,20171,0
肿,20172,0
痛,20173,0
剧痛,20174,0
胀痛,20175,0
钝痛,20176,0
锐痛,20177,0
绞痛,20178,0
阵痛,20179,0
持续性疼痛,20180,0
麻木,20181,0
清晰,20182,0
模糊,20183,0
急性,20184,0
慢性,20185,0
良性,20186,0
恶性,20187,0
轻微,20188,0
严重,20189,0
缓解,20190,0
加重,20191,0
姓名,20192,0
性别,20193,0
年龄,20194,0
民族,20195,0
宗教信仰,20196,0
婚姻,20197,0
籍贯,20198,0
出生地,20199,0
住址,20200,0
职业,20201,0
入院日期,20202,0
已婚,20203,0
未婚,20204,0
基督教,20205,0
佛教,20206,0
伊斯兰教,20207,0
就医,20208,0
急诊,20209,0
抢救,20210,0
初诊,20211,0
复诊,20212,0
住院,20213,0
咨询,20214,0
服务(1),20215,0
服务(2),20216,0
挂号,20217,0
诊断,20218,0
划价,20219,0
收费,20220,0
交费,20221,0
检查,20222,0
报告,20223,0
药方,20224,0
取药,20225,0
疾病,20226,0
病因,20227,0
病史,20228,0
病历,20229,0
酗酒,20230,0
抽烟,20231,0
熬夜,20232,0
食欲(1),20233,0
食欲(2),20234,0
吸收,20235,0
消化,20236,0
呼吸,20237,0
氧气,20238,0
二氧化碳,20239,0
排泄,20240,0
家族,20241,0
血液,20242,0
基因,20243,0
遗传,20244,0
抗体,20245,0
免疫,20246,0
激素,20247,0
细菌,20248,0
霉菌,20249,0
病毒,20250,0
损伤,20251,0
烧伤(1),20252,0
烧伤(2),20253,0
灼伤,20254,0
烫伤,20255,0
伤口,20256,0
出血,20257,0
发炎,20258,0
感染,20259,0
传染,20260,0
脓肿,20261,0
溃疡,20262,0
腐烂,20263,0
穿孔,20264,0
过敏,20265,0
肿瘤,20266,0
医嘱,20267,0
体检(1),20268,0
体检(2),20269,0
治疗,20270,0
疗法,20271,0
疗效,20272,0
减肥,20273,0
禁食,20274,0
禁酒,20275,0
消毒,20276,0
肌肉注射,20277,0
输液,20278,0
输血,20279,0
献血,20280,0
局部麻醉,20281,0
全身麻醉,20282,0
手术,20283,0
切除,20284,0
截肢,20285,0
缝合,20286,0
包扎,20287,0
器官移植,20288,0
血液透析,20289,0
隔离,20290,0
排毒,20291,0
放疗,20292,0
化疗,20293,0
医疗保险,20294,0
医疗卡,20295,0
护理,20296,0
临床,20297,0
探病,20298,0
健康,20299,0
预防,20300,0
保健,20301,0
治愈,20302,0
临床治愈,20303,0
康复,20304,0
病重,20305,0
病危,20306,0
死亡,20307,0
复发,20308,0
后遗症,20309,0
终生服药,20310,0
发热,20311,0
咳嗽,20312,0
咳痰,20313,0
咯血,20314,0
胸痛,20315,0
呼吸困难,20316,0
水肿,20317,0
心悸,20318,0
恶心,20319,0
呕吐,20320,0
腹痛,20321,0
腹泻,20322,0
呕血,20323,0
便血,20324,0
便秘,20325,0
黄疸,20326,0
多尿,20327,0
少尿,20328,0
无尿,20329,0
尿急,20330,0
尿频,20331,0
尿痛,20332,0
血尿,20333,0
意识障碍,20334,0
嗜睡,20335,0
意识模糊,20336,0
昏睡,20337,0
昏迷,20338,0
头痛,20339,0
眩晕,20340,0
晕厥,20341,0
抽搐,20342,0
腰背痛,20343,0
关节痛,20344,0
体温,20345,0
脉搏,20346,0
血压,20347,0
胸围,20348,0
腰围,20349,0
臀围,20350,0
体型,20351,0
身高,20352,0
体重,20353,0
营养不良,20354,0
消瘦,20355,0
营养过剩,20356,0
肥胖,20357,0
意识,20358,0
畸形,20359,0
肌无力,20360,0
肌肉萎缩,20361,0
记忆力减退,20362,0
失忆,20363,0
痴呆,20364,0
语言障碍,20365,0
失眠,20366,0
瘫痪,20367,0
幻觉,20368,0
精神紧张,20369,0
萎靡,20370,0
抑郁,20371,0
焦虑,20372,0
烦躁,20373,0
躁狂,20374,0
皮肤苍白,20375,0
失血,20376,0
缺血,20377,0
腹水,20378,0
心律,20379,0
心率,20380,0
心音,20381,0
心动过速(1),20382,0
心动过速(2),20383,0
心动过缓(1),20384,0
心动过缓(2),20385,0
高血压,20386,0
低血压,20387,0
咽痛,20388,0
盗汗,20389,0
受凉,20390,0
风寒,20391,0
鼻塞,20392,0
流涕,20393,0
打喷嚏,20394,0
结核病,20395,0
气喘,20396,0
憋气,20397,0
打嗝,20398,0
饱胀,20399,0
皮肤瘙痒,20400,0
反酸,20401,0
吞咽困难,20402,0
腹胀,20403,0
黑便,20404,0
食欲不振(1),20405,0
食欲不振(2),20406,0
食欲亢进(1),20407,0
食欲亢进(2),20408,0
营养失衡,20409,0
腰痛,20410,0
腰酸,20411,0
尿路不通,20412,0
排尿困难,20413,0
怕热,20414,0
畏寒,20415,0
多汗,20416,0
乏力,20417,0
烦渴,20418,0
毛发增多,20419,0
毛发脱落,20420,0
色素沉着,20421,0
视力障碍,20422,0
听力障碍,20423,0
视物不清,20424,0
复视(1),20425,0
复视(2),20426,0
偏盲,20427,0
耳聋,20428,0
耳鸣,20429,0
鼻出血,20430,0
牙痛,20431,0
牙龈出血,20432,0
声音嘶哑,20433,0
苍白,20434,0
发红,20435,0
发绀,20436,0
黄染,20437,0
冷汗,20438,0
阴(1),20439,0
阴(2),20440,0
阳(1),20441,0
阳(2),20442,0
气,20443,0
血,20444,0
津液,20445,0
元气,20446,0
舌质,20447,0
舌苔,20448,0
脉诊,20449,0
舌诊,20450,0
潮热,20451,0
自汗,20452,0
表,20453,0
里,20454,0
虚,20455,0
实,20456,0
湿热,20457,0
实热,20458,0
虚热,20459,0
气滞,20460,0
血瘀,20461,0
寒凝,20462,0
阴虚,20463,0
阳虚,20464,0
血虚,20465,0
气虚,20466,0
气血两虚,20467,0
骨折,20468,0
关节炎,20469,0
肩周炎,20470,0
关节损伤,20471,0
颈椎病,20472,0
韧带损伤,20473,0
骨质增生,20474,0
骨质疏松,20475,0
骨软骨病,20476,0
腰椎间盘突出,20477,0
运动创伤（1）,20478,0
运动创伤（2）,20479,0
腰肌劳损,20480,0
骨折复位,20481,0
骨折固定,20482,0
骨关节炎,20483,0
肩关节脱位,20484,0
断肢再植,20485,0
断指再植,20486,0
手外伤,20487,0
脊柱骨折,20488,0
脊柱损伤,20489,0
腰腿痛,20490,0
颈肩痛,20491,0
骨肿瘤,20492,0
脑出血,20493,0
脑梗塞,20494,0
脑炎,20495,0
脑供血不足,20496,0
偏头痛,20497,0
癫痫,20498,0
小脑萎缩,20499,0
睡眠障碍,20500,0
帕金森病,20501,0
重症肌无力,20502,0
